性別,球員,#,聯盟,球隊,連結,現役,身份,新秀,聯盟身份,位置,身高,體重,生日,學歷,入隊方式,class,合約,,剩餘年限,備注,,2023-24 球隊,,GP,PPG,RPG,APG,自由球員狀態,,0
men,林書緯,1,TPBL,kings,https://tpbl.basketball/players/29,active,taiwanese,,華裔,PG/SG,185,73,1992/06/21,NCAA D3 Hamilton,交易 from 勇士: 2022/08/08,,2022-23,,,,,,,,,,,,,
men,蘇培凱,2,TPBL,kings,https://tpbl.basketball/players/19,active,local,2023Rookie,本土,PG/SG,187,83,1999/11/02,臺灣藝大,2023 PLG 選秀 - #5 順位,,2023-24,,,,,,,,,,,,,
men,陳俊男,3,TPBL,kings,https://tpbl.basketball/players/20,active,local,2021Rookie,本土,SF/PF,190,90,2000/04/20,國立體大,2021 PLG 選秀 - #3 順位,,2023-24,,,提前續約,,,,,,,,,,
men,強森,5,TPBL,kings,https://tpbl.basketball/players/31,active,import,,洋將,C,211,105,1985/07/17,-,加盟: 2024/07/24,,2024-25,,,,,,,,,,,,,
men,林書豪,7,TPBL,kings,https://tpbl.basketball/players/30,active,taiwanese,,華裔,PG/SG,192,95,1988/08/23,NCAA D1 Harvard,加盟: 2023-24賽季,resigned,2023-24,1+1年 (球員選擇權),1,,https://www.instagram.com/p/CxXnALWPVx7/,,,,,,,,,
men,李愷諺,9,TPBL,kings,https://tpbl.basketball/players/21,active,local,,本土,PG/SG,182,80,1993/05/06,醒吾科大,加盟: 2021-22賽季,resigned,2024-25,3年,3,,https://www.instagram.com/p/C9jQqHZv06I/,,,,,,,,,
men,簡祐哲,10,TPBL,kings,https://tpbl.basketball/players/22,active,local,,本土,PG/SG,180,80,1995/09/10,健行科大,加盟: 2021-22賽季,,2023-24,,,提前續約,,,,,,,,,,
men,王柏智,11,TPBL,kings,https://tpbl.basketball/players/23,active,local,,本土,C,195,130,1996/10/29,國立體大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,呂政儒,13,TPBL,kings,https://tpbl.basketball/players/28,active,local,,本土,SF/PF,194,93,1986/04/13,文化大學,加盟: 2024/07/15,,2024-25,,,,,PLG,steelers,11,12.9,2.7,2.8,加盟 國王,https://www.instagram.com/p/C9bz-5IPFii/,
men,蘇士軒,17,TPBL,kings,https://tpbl.basketball/players/24,active,local,2020Rookie,本土,SF/PF,197,95,1996/04/09,臺灣師大,加盟: 2023-24賽季,resigned,2024-25,,,,,PLG,kings,35,5.5,4.1,0.8,完成續約,https://www.instagram.com/p/C86HindPNLV/,
men,林金榜,19,TPBL,kings,https://tpbl.basketball/players/25,active,local,,本土,SF/PF,190,90,1985/06/15,臺灣體大,加盟: 2022-23賽季,,2022-23,,,,,,,,,,,,,
men,洪志善,24,TPBL,kings,https://tpbl.basketball/players/26,active,local,,本土,PG/SG,176,75,1985/07/05,臺北科大,加盟: 2021-22賽季,,2023-24,2年,1,,https://youtu.be/0_EQN9t68-E?si=A0aQETF57LeM_fdV&t=220,,,,,,,,,
men,奧帝,25,TPBL,kings,https://tpbl.basketball/players/32,active,import,,洋將,SF/PF,207,91,1988/06/05,-,加盟: 2023-24賽季,resigned,2024-25,,,,,,,,,,,,,
men,桑尼,31,TPBL,kings,https://tpbl.basketball/players/867,active,import,,亞外,SF/PF,204,102,1988/08/19,-,加盟: 2024/10/09,,2024-25,,,,,,,,,,,,,
men,沃許本,42,TPBL,kings,https://tpbl.basketball/players/34,active,import,,洋將,C,213,111,1990/06/05,-,加盟: 2024/08/01,,2024-25,,,,,,,,,,,,,
men,曼尼高,55,TPBL,kings,https://tpbl.basketball/players/33,active,import,,洋將,SF/PF,196,95,1991/05/22,-,加盟: 2022-23賽季,resigned,2024-25,,,,,,,,,,,,,
men,林力仁,72,TPBL,kings,https://tpbl.basketball/players/27,active,local,,本土,PG/SG,183,85,1990/06/16,明道大學,加盟: 2021-22賽季,,2023-24,,,,,,,,,,,,,
men,史密斯,0,TPBL,leopards,https://tpbl.basketball/players/3653,active,import,,洋將,SF/PF,208,100,1997/10/28,-,加盟: 2024/12/06,,2024-25,,,,,,,,,,,,,
men,高錦瑋,5,TPBL,leopards,https://tpbl.basketball/players/54,active,local,2023Rookie,本土,PG,177,66,2000/10/23,健行科大,2023 T1 選秀 - #2 順位,,2023-24,,,,,,,,,,,,,
men,汪哲宇,8,TPBL,leopards,https://tpbl.basketball/players/55,active,local,2024Rookie,本土,SG,190,88,2002/03/18,臺灣科大,2024 TPBL 選秀 - #3 順位,,2024-25,,,,,,,,,,,,,
men,丁冠皓,10,TPBL,leopards,https://tpbl.basketball/players/56,active,local,2023Rookie,本土,SF/PF,192,86,2000/10/23,健行科大,交易 from 夢想家: 2024/07/08,trade,2023-24,,,夢想家 交易至 雲豹,,,,,,,,,,
men,莊博元,11,TPBL,leopards,https://tpbl.basketball/players/57,active,local,2024Rookie,本土,PG/SG,185,85,2000/12/01,輔仁大學,2024 TPBL 選秀 - #9 順位,,2024-25,,,,,,,,,,,,,
men,林信寬,12,TPBL,leopards,https://tpbl.basketball/players/58,active,local,2023Rookie,本土,SF/PF,192,97,2002/05/09,臺灣師大,2023 T1 選秀 - #1 順位,,2023-24,,,,,,,,,,,,,
men,克羅馬,24,TPBL,leopards,https://tpbl.basketball/players/68,active,import,,洋將,SF,198,91,1991/06/24,-,加盟: 2023-24賽季,resigned,2024-25,,,,,,,,,,,,,
men,黃鎮,27,TPBL,leopards,https://tpbl.basketball/players/60,active,local,,本土,SF,193,86,1990/06/27,輔仁大學,加盟: 2023-24賽季,resigned,2024-25,,,,,T1,leopards,26,4.1,1.8,0.8,完成續約,https://www.instagram.com/p/C-64UgfhM9h/?img_index=1,
men,陳俊翰,28,TPBL,leopards,https://tpbl.basketball/players/61,active,local,2020Rookie,本土,SF/PF,196,90,1996/03/20,康寧大學,加盟: 2024/09/27,,2024-25,,,,,SBL,bank,2,4.0,0.5,0.5,加盟 雲豹,https://www.instagram.com/p/DAaKGhRB4Gh/,
men,董永全,31,TPBL,leopards,,active,local,2022Rookie,本土,-,191,-,1999/10/14,臺灣師大,加盟: 2024/07/31,,2024-25,,,,,,,,,,,,,
men,王皓吉,33,TPBL,leopards,https://tpbl.basketball/players/62,active,local,,本土,SF/PF,195,95,1989/09/22,醒吾科大,加盟: 2024/07/31,,2024-25,,,,,,,,,,,,,
men,威廉斯,41,TPBL,leopards,https://tpbl.basketball/players/69,active,import,,洋將,PF,206,122,1994/05/31,-,加盟: 2023-24賽季,resigned,2024-25,,,,,,,,,,,,,
men,艾吉,55,TPBL,leopards,https://tpbl.basketball/players/5258,active,import,,洋將,C,208,108,1992/09/01,-,加盟: 2024/12/21,,2024-25,,,,,,,,,,,,,
men,呂濟而,72,TPBL,leopards,https://tpbl.basketball/players/63,active,local,,本土,PG,187,80,1992/01/15,高雄師大,加盟: 2024/07/05,,2024-25,,,,,T1,ghosthawks,24,3.8,0.9,0.8,加盟 雲豹,https://www.instagram.com/p/C9Bt_AmBxts/,
men,劉元凱,82,TPBL,leopards,https://tpbl.basketball/players/64,active,local,,本土,C,206,105,1991/07/09,輔仁大學,加盟: 2022-23賽季,resigned,2024-25,,,,,T1,leopards,26,1.9,2.0,0.5,完成續約,https://www.instagram.com/p/C-64UgfhM9h/?img_index=2,
men,楊盛硯,98,TPBL,leopards,https://tpbl.basketball/players/65,away,local,,本土,PG,178,80,1997/01/18,國立體大,交易 from 夢想家: 2024/07/20,trade,,2年,,夢想家 交易至 雲豹,https://www.instagram.com/p/Cvgj0NFPbhs/,,,,,,,,,
men,李漢昇,0,TPBL,lioneers,https://tpbl.basketball/players/71,active,local,2020Rookie,本土,PG/SG,177,76,1994/10/24,臺灣師大,加盟: 2024/07/10,,2024-25,,,,,T1,ghosthawks,27,8.3,1.9,4.0,加盟 攻城獅,https://www.instagram.com/p/C9OsD94ShzN/,
men,姜廣謙,2,TPBL,lioneers,https://tpbl.basketball/players/72,active,local,2020Rookie,本土,PG/SG,184,81,1998/05/07,臺灣藝大,加盟: 2022-23賽季,,2022-23,,,,,,,,,,,,,
men,王子綱,3,TPBL,lioneers,https://tpbl.basketball/players/74,active,local,,本土,PG/SG,183,73,1993/01/27,高雄師大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,高國豪,4,TPBL,lioneers,https://tpbl.basketball/players/75,active,local,2020Rookie,本土,PG/SG,180,76,1998/09/22,NCAA D1 SEMO,加盟: 2020-21賽季,,2021-22,5年,2,,https://www.instagram.com/p/CUHEEeIhKBU/,,,,,,,,,
men,克拉,6,TPBL,lioneers,https://tpbl.basketball/players/92,active,import,,洋將,SF/PF,209,106,1988/01/17,-,加盟: 2023-24賽季,resigned,2024-25,,,,,,,,,,,,,
men,曾柏喻,7,TPBL,lioneers,https://tpbl.basketball/players/76,active,local,2021Rookie,本土,PG/SG,184,88,1996/12/03,明道大學,2022 PLG 選秀 - #10 順位,resigned,2024-25,3年,3,,https://www.instagram.com/p/C9T9tOlSVrQ/,PLG,lioneers,39,7.2,2.5,2.8,續約 3年,https://www.instagram.com/p/C9T9tOlSVrQ/,
men,朱雲豪,8,TPBL,lioneers,https://tpbl.basketball/players/78,active,local,2021Rookie,本土,SF/PF,195,94,1997/11/03,健行科大,2021 PLG 選秀 - #1 順位,,2021-22,3+1年 (球隊選擇權),0+1,,https://www.instagram.com/p/CUHEEeIhKBU/,,,,,,,,,
men,田浩,9,TPBL,lioneers,https://tpbl.basketball/players/80,active,local,2020Rookie,本土,PG/SG,174,70,1998/09/16,政治大學,加盟: 2020-21賽季,,2020-21,3+1年 (球隊選擇權),0,,https://www.instagram.com/p/CUHEEeIhKBU/,,,,,,,,,
men,米克獅,10,TPBL,lioneers,https://tpbl.basketball/players/93,active,import,,洋將,SF/PF,208,120,1995/02/05,-,加盟: 2024/10/01,,2024-25,,,,,,,,,,,,,
men,蕭順議,11,TPBL,lioneers,https://tpbl.basketball/players/82,active,local,,本土,SF/PF,193,86,1992/10/23,臺灣藝大,加盟: 2020-21賽季,,2023-24,2年,1,,https://www.instagram.com/p/CuOfW6QLL_A/,,,,,,,,,
men,李家瑞,12,TPBL,lioneers,https://tpbl.basketball/players/84,active,local,,本土,SF/PF,200,97,1994/12/04,HBL 基隆商工,加盟: 2020-21賽季,,2021-22,4+1年 (球隊選擇權),1+1,,https://www.instagram.com/p/CUHEEeIhKBU/,,,,,,,,,
men,周伯勳,20,TPBL,lioneers,https://tpbl.basketball/players/85,active,local,,本土,SF/PF,197,94,1991/03/06,明道大學,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,蔡宸綱,35,TPBL,lioneers,https://tpbl.basketball/players/87,active,local,2024Rookie,本土,SF/PF,197,95,2002/11/08,健行科大,2024 TPBL 選秀 - #2 順位,,2024-25,,,,,,,,,,,,,
men,盧冠軒,42,TPBL,lioneers,https://tpbl.basketball/players/88,active,local,,本土,PG/SG,184,88,1995/04/02,臺灣師大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,敢搏,45,TPBL,lioneers,https://tpbl.basketball/players/4182,active,import,,洋將,C,208,117,1989/09/15,-,加盟: 2024/12/10,,2024-25,,,,,,,,,,,,,
men,容毅燊,52,TPBL,lioneers,https://tpbl.basketball/players/102,active,uba_import,2020Rookie,外籍生,C,200,99,1996/02/09,臺灣師大,加盟: 2022-23賽季,,2022-23,,,,,,,,,,,,,
men,霍立飛,55,TPBL,lioneers,https://tpbl.basketball/players/100,active,import,,洋將,C,208,118,1992/11/18,-,加盟: 2023-24賽季,resigned,2024-25,,,,,,,,,,,,,
men,李啓瑋,75,TPBL,lioneers,https://tpbl.basketball/players/90,active,local,,本土,SF/PF,192,87,1993/04/08,明道大學,加盟: 2024/07/03,,2024-25,,,,,T1,leopards,16,7.8,2.5,1.3,加盟 攻城獅,https://www.instagram.com/p/C882XBGS7yt/,
men,達爾,88,TPBL,lioneers,https://tpbl.basketball/players/5259,active,import,,洋將,G,193,102,1988/04/11,-,加盟: 2024/12/23,,2024-25,,,,,,,,,,,,,
men,陳振傑,0,TPBL,dreamers,https://tpbl.basketball/players/73,active,local,2020Rookie,本土,SG,183,80,1997/09/16,NAIA Grand View,加盟: 2020-21賽季,resigned,2024-25,3年,3,,https://www.instagram.com/p/C8_JBMxPx3e/,PLG,dreamers,32,7.4,2.6,0.9,續約 3年,https://www.instagram.com/p/C8_JBMxPx3e/,
men,馬建豪,2,TPBL,dreamers,https://tpbl.basketball/players/77,active,local,2022Rookie,本土,SF,201,90,2001/04/29,NCAA D1 Georgia St.,加盟: 2024/08/09,,2024-25,,,,,中國 CBA,江蘇肯帝亞,50,9.3,2.6,1.1,加盟 夢想家,https://www.instagram.com/p/C-cG3-Xv7IB/,
men,張宗憲,3,TPBL,dreamers,https://tpbl.basketball/players/79,active,local,,本土,SG,192,88,1988/12/27,NCAA D2 BYU-Hawaii,加盟: 2024/07/12,,2024-25,,,,,PLG,braves,16,3.6,1.3,1.8,加盟 夢想家,https://www.instagram.com/p/C9TvYmdPoag/,
men,帕奇爾,4,TPBL,dreamers,https://tpbl.basketball/players/2237,active,import,,洋將,C,208,110,1992/02/17,-,加盟: 2024/11/18,,2024-25,,,,,,,,,,,,,
men,貝奇,5,TPBL,dreamers,https://tpbl.basketball/players/104,active,import,,洋將,PF,203,95,1994/03/01,-,加盟: 2024/09/10,,2024-25,,,,,,,,,,,,,
men,王振原,8,TPBL,dreamers,https://tpbl.basketball/players/81,active,local,2021Rookie,本土,PG,176,70,1998/09/02,政治大學,2021 PLG 選秀 - #14 順位,,2022-23,,,,,,,,,,,,,
men,吳家駿,9,TPBL,dreamers,https://tpbl.basketball/players/83,active,local,,本土,PG,174,70,1994/03/03,國立體大,交易 from 領航猿: 2022/07/14,resigned,2024-25,3年,3,,https://www.instagram.com/p/C8_JBMxPx3e/,PLG,dreamers,29,3.1,1.7,2.0,續約 3年,https://www.instagram.com/p/C8_JBMxPx3e/,
men,林俊吉,11,TPBL,dreamers,https://tpbl.basketball/players/86,active,local,2020Rookie,本土,PG,175,70,1998/01/29,健行科大,加盟: 2020-21賽季,,,延長至2026-27賽季,3,,https://www.instagram.com/p/Cvgj0NFPbhs/,,,,,,,,,
men,班尼特,17,TPBL,dreamers,,active,import,,洋將,F,203,111,1993/03/14,-,加盟: 2024/12/24,,2024-25,,,,,,,,,,,,,
men,簡偉儒,20,TPBL,dreamers,https://tpbl.basketball/players/91,active,local,,本土,SG,186,85,1992/01/20,臺灣師大,加盟: 2024/07/17,,2024-25,,,,,T1,ghosthawks,23,4.5,1.6,1.0,加盟 夢想家,https://www.instagram.com/p/C9gnZHPqsSG/,
men,簡浩,21,TPBL,dreamers,https://tpbl.basketball/players/94,active,local,,本土,SF,200,90,1985/03/07,NAIA Madonna,加盟: 2021-22賽季,,,2年,,,https://www.instagram.com/p/Cvgj0NFPbhs/,,,,,,,,,
men,忻沃克,24,TPBL,dreamers,https://tpbl.basketball/players/103,active,taiwanese,2020Rookie,華裔,SF,196,93,1998/09/21,NCAA D3 TCNJ,加盟: 2020-21賽季,,2023-24,2年,1,,https://www.instagram.com/p/CvEQB75vjOk/,,,,,,,,,
men,李德威,26,TPBL,dreamers,https://tpbl.basketball/players/95,active,local,,本土,C,200,105,1991/10/15,HBL 能仁家商,加盟: 2020-21賽季,resigned,2024-25,3年,3,,https://www.instagram.com/p/C8_JBMxPx3e/,PLG,dreamers,15,1.4,1.2,0.1,續約 3年,https://www.instagram.com/p/C8_JBMxPx3e/,
men,史承平,27,TPBL,dreamers,https://tpbl.basketball/players/97,active,local,2024Rookie,本土,SF,190,80,1999/10/01,義守大學,2024 TPBL 選秀 - #8 順位,,2024-25,,,,,,,,,,,,,
men,盧冠良,28,TPBL,dreamers,https://tpbl.basketball/players/99,active,local,,本土,SG,185,90,1991/04/09,臺灣藝大,加盟: 2022-23賽季,resigned,2024-25,3年,3,,https://www.instagram.com/p/C8_JBMxPx3e/,PLG,dreamers,35,6.5,2.6,1.8,續約 3年,https://www.instagram.com/p/C8_JBMxPx3e/,
men,高柏鎧,34,TPBL,dreamers,https://tpbl.basketball/players/106,active,naturalized,,洋將,C,213,107,1996/12/09,-,加盟: 2021-22賽季,resigned,2024-25,,,,,,,,,,,,,
men,霍爾曼,35,TPBL,dreamers,https://tpbl.basketball/players/107,active,import,,洋將,PF,208,100,1997/07/11,-,加盟: 2024/08/14,,2024-25,,,,,,,,,,,,,
men,蔣淯安,41,TPBL,dreamers,https://tpbl.basketball/players/89,active,local,,本土,PG,174,75,1991/08/04,臺灣體大,加盟: 2024/07/02,,2024-25,5年,5,,https://www.instagram.com/p/C85_dczhyIm/,T1,leopards,20,15.6,3.9,5.2,5年合約 加盟夢想家,https://www.instagram.com/p/C85_dczhyIm/,
men,周柏臣,88,TPBL,dreamers,https://tpbl.basketball/players/101,active,local,,本土,C,198,98,1990/08/08,臺灣師大,加盟: 2022-23賽季,,2022-23,,,,,,,,,,,,,
men,魏莨哲,0,TPBL,aquas,https://tpbl.basketball/players/108,active,local,2024Rookie,本土,PG,185,78,2001/11/28,高雄師大,2024 TPBL 選秀 - #4 順位,,2024-25,,,,,,,,,,,,,
men,艾德,1,TPBL,aquas,https://tpbl.basketball/players/4181,active,import,,洋將,PF,208,100,1989/06/04,-,加盟: 2024/12/03,,2024-25,,,,,,,,,,,,,
men,于煥亞,7,TPBL,aquas,https://tpbl.basketball/players/109,active,local,,本土,SF,182,81,1993/11/30,臺灣師大,加盟: 2021-22賽季,,2022-23,,,,,,,,,,,,,
men,邱子軒,8,TPBL,aquas,https://tpbl.basketball/players/124,active,local,2022Rookie,本土,SG,190,89,1999/12/08,義守大學,2022 T1 選秀 - R1 指名,,2022-23,,,,,,,,,,,,,
men,胡瓏貿,10,TPBL,aquas,https://tpbl.basketball/players/110,active,local,,本土,PF,196,101,1992/12/22,NCAA D2 Chaminade,加盟: 2021-22賽季,resigned,2024-25,3年,3,,https://www.instagram.com/p/C8YySmsP802/,T1,aquas,25,15.3,5.9,2.6,續約 3年,https://www.instagram.com/p/C8YySmsP802/,
men,唐維傑,11,TPBL,aquas,https://tpbl.basketball/players/111,active,local,2023Rookie,本土,SF,192,89,1999/09/25,NCAA D1 VMI,2023 T1 選秀 - #5 順位,,2023-24,,,,,,,,,,,,,
men,林任鴻,12,TPBL,aquas,https://tpbl.basketball/players/113,active,local,,本土,SF,194,88,1993/12/18,臺灣師大,加盟: 2021-22賽季,,2022-23,,,,,,,,,,,,,
men,比斯赫,14,TPBL,aquas,https://tpbl.basketball/players/114,active,import,,洋將,C,208,114,1997/07/28,-,加盟: 2024/08/02,,2024-25,,,,,,,,,,,,,
men,吳怡斌,18,TPBL,aquas,https://tpbl.basketball/players/115,active,local,,本土,PF,200,92,1992/08/29,義守大學,加盟: 2021-22賽季,,2023-24,,,,,,,,,,,,,
men,呂威霆,21,TPBL,aquas,https://tpbl.basketball/players/116,active,local,2021Rookie,本土,C,200,103,1997/04/16,義守大學,加盟: 2021-22賽季,resigned,2024-25,,,,,T1,aquas,27,3.2,2.3,0.6,完成續約,https://www.instagram.com/p/C8Ten84Pux5/,
men,摩爾斯,22,TPBL,aquas,https://tpbl.basketball/players/117,active,import,,洋將,PF,204,104,1994/04/13,-,加盟: 2024/07/26,,2024-25,,,,,,,,,,,,,
men,蘇文儒,24,TPBL,aquas,https://tpbl.basketball/players/118,active,local,2021Rookie,本土,SG,187,78,1997/10/16,義守大學,2021 T1 選秀 - R2 指名,resigned,2024-25,,,,,T1,aquas,27,1.8,1.4,0.5,完成續約,https://www.instagram.com/p/C8RBkefPVm7/,
men,余純安,28,TPBL,aquas,https://tpbl.basketball/players/119,active,local,,本土,SG,189,83,1992/02/13,臺灣師大,加盟: 2021-22賽季,,2021-22,4年,1,,https://www.instagram.com/p/CQvDXhal1se/,,,,,,,,,
men,威勝,34,TPBL,aquas,https://tpbl.basketball/players/120,active,import,,洋將,C,208,110,1999/07/27,-,加盟: 2024/07/29,,2024-25,,,,,,,,,,,,,
men,吳曉謹,57,TPBL,aquas,https://tpbl.basketball/players/121,active,local,,本土,SF,190,81,1995/08/28,高雄師大,加盟: 2021-22賽季,,2023-24,,,,,,,,,,,,,
men,陳懷安,66,TPBL,aquas,https://tpbl.basketball/players/122,active,local,,本土,PG,186,86,1997/04/29,臺灣藝大,加盟: 2021-22賽季,,2021-22,,,,,,,,,,,,,
men,勤明慶,85,TPBL,aquas,https://tpbl.basketball/players/123,active,local,,本土,C,195,106,1994/11/14,臺灣師大,加盟: 2021-22賽季,,2023-24,,,,,,,,,,,,,
men,陳孝榕,0,SBL,beer,https://sleague.tw/roster/148289,active,local,2022Rookie,本土,PG/SG,180,72,1999/11/06,臺灣科大,加盟: 2024/08/22,,2022-23,,,,,,,,,,,,,
men,王新瑋,1,SBL,beer,https://sleague.tw/roster/148288,active,local,2021Rookie,本土,PG/SG,185,90,1997/05/08,萬能科大,加盟: 2021-22賽季,,2021-22,,,,,,,,,,,,,
men,呂宗霖,3,SBL,beer,https://sleague.tw/roster/148287,active,local,,本土,PG/SG,175,70,1994/11/17,臺灣科大,加盟: 2024/12/11,,2023-24,,,,,,,,,,,,,
men,盧捷閔,7,SBL,beer,https://sleague.tw/roster/148280,active,local,,本土,PG/SG,184,80,1995/10/12,輔仁大學,加盟: 2024/08/22,,2022-23,2+1年,0+1,,https://www.instagram.com/p/ChEkCAiv1kI/,,,,,,,,,
men,鄭駿龍,8,SBL,beer,https://sleague.tw/roster/148285,active,local,,本土,PG/SG,180,90,1991/01/08,實踐大學,加盟: 2024/08/22,,2022-23,2+1年,0+1,,https://www.instagram.com/p/ChEkCAiv1kI/,,,,,,,,,
men,蔣浩文,9,SBL,beer,https://sleague.tw/roster/148284,active,local,2023Rookie,本土,PG/SG,175,75,2001/07/14,臺灣師大,2022 SBL 選秀 - #2 順位,,2023-24,,,,,,,,,,,,,
men,曾品富,10,SBL,beer,https://sleague.tw/roster/148283,active,local,2021Rookie,本土,SF/PF,195,90,1996/03/01,健行科大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,簡賀宇,11,SBL,beer,https://sleague.tw/roster/148282,active,local,2024Rookie,本土,PG/SG,182,81,2001/08/10,世新大學,加盟: 2024-25賽季,,2024-25,,,,,,,,,,,,,
men,吳沛嘉,14,SBL,beer,https://sleague.tw/roster/148281,active,local,2023Rookie,本土,C,205,103,1999/09/27,世新大學,加盟: 2024/08/22,,2023-24,,,,,,,,,,,,,
men,賴俊廷,17,SBL,beer,https://sleague.tw/roster/148279,active,local,2022Rookie,本土,SF/PF,186,80,2000/07/07,Spire Academy,2022 SBL 選秀 - #7 順位,,2022-23,,,,,,,,,,,,,
men,朱億宗,24,SBL,beer,https://sleague.tw/roster/148278,active,local,,本土,SF/PF,186,85,1986/08/04,醒吾科大,加盟: 2024/08/22,,,,,,,,,,,,,,,
men,胡凱翔,26,SBL,beer,https://sleague.tw/roster/148277,active,local,,本土,SF/PF,190,95,1991/05/16,文化大學,加盟: 2024-25賽季,,2024-25,,,,,T1,ghosthawks,15,3.1,0.9,1.5,加盟 台啤,,
men,阿拉薩,33,SBL,beer,https://sleague.tw/roster/148276,active,uba_import,2024Rookie,外籍生,C,200,106,2002/01/08,臺灣藝大,加盟: 2024/12/11,,2023-24,,,,,,,,,,,,,
men,葛萊斯,40,SBL,beer,https://sleague.tw/roster/148290,active,import,,洋將,C,203,100,1994/05/07,-,加盟: 2024-25賽季,,2024-25,,,,,,,,,,,,,
men,范士恩,42,SBL,beer,https://sleague.tw/roster/148275,active,local,,本土,SF/PF,198,85,1994/06/01,臺灣科大,加盟: 2023-24賽季,,2021-22,,,,,,,,,,,,,
men,陳兆豪,89,SBL,beer,https://sleague.tw/roster/148274,active,local,,本土,C,199,95,1992/06/12,高雄師大,交易 from 台灣大: 2014/09/12,,,,,,,,,,,,,,,
men,林柏豪,97,SBL,beer,https://sleague.tw/roster/148286,active,local,2020Rookie,本土,SF/PF,192,78,1997/01/08,康寧大學,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,簡家暐,0,SBL,bank,https://sleague.tw/roster/148273,active,local,2020Rookie,本土,SF/PF,188,83,1998/07/29,臺灣師大,2020 SBL 選秀 - #7 順位,,2022-23,2年,0,,https://sports.ettoday.net/news/2271816,,,,,,,,,
men,郭振復,2,SBL,bank,https://sleague.tw/roster/148272,active,local,2023Rookie,本土,PG/SG,192,81,2001/02/22,高雄師大,2023 SBL 選秀 - #3 順位,,2023-24,,,,,,,,,,,,,
men,陳侑昫,3,SBL,bank,https://sleague.tw/roster/148271,active,local,,本土,SF/PF,195,90,1990/10/01,義守大學,2014 SBL 選秀 - #8 順位,,2022-23,1年,,,https://sports.ettoday.net/news/2272567,,,,,,,,,
men,聶歐瑪,5,SBL,bank,https://sleague.tw/roster/148270,active,uba_import,2021Rookie,外籍生,C,205,100,1998/05/15,政治大學,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,王偉丞,7,SBL,bank,https://sleague.tw/roster/148269,active,local,2021Rookie,本土,PG/SG,183,72,1999/08/07,高雄師大,2021 SBL 選秀 - #2 順位,,2021-22,,,,,,,,,,,,,
men,林哲霆,8,SBL,bank,https://sleague.tw/roster/148268,active,local,2022Rookie,本土,PG/SG,183,72,1999/09/08,輔仁大學,加盟: 2022-23賽季,,2022-23,3年,1,,https://tw.sports.yahoo.com/news/%E8%88%87%E5%8F%B0%E9%8A%80%E7%B0%BD%E4%B8%8B3%E5%B9%B4%E5%90%88%E7%B4%84-%E6%9E%97%E5%93%B2%E9%9C%86%E7%9B%BC%E6%89%93%E5%87%BA%E8%BA%AB%E5%83%B9-143935404.html,,,,,,,,,
men,林柏偉,9,SBL,bank,https://sleague.tw/roster/148267,active,local,,本土,SF/PF,187,80,1993/11/18,世新大學,加盟: 2019-20賽季,,2021-22,,,,,,,,,,,,,
men,周日騰,10,SBL,bank,https://sleague.tw/roster/148266,active,local,2022Rookie,本土,SF/PF,193,92,2000/02/08,臺灣藝大,2022 SBL 選秀 - #8 順位,,2022-23,,,,,,,,,,,,,
men,潘祥偉,11,SBL,bank,https://sleague.tw/roster/148265,active,local,,本土,SF/PF,190,83,1994/10/26,義守大學,加盟: 2020-21賽季,,2022-23,2年,0,,https://sports.ettoday.net/news/2272567,,,,,,,,,
men,張家禾,12,SBL,bank,https://sleague.tw/roster/148264,active,local,,本土,SF/PF,188,85,1996/12/15,臺灣藝大,2019 SBL 選秀 - #1 順位,,2022-23,1年,,,https://sports.ettoday.net/news/2272567,,,,,,,,,
men,王泰傑,13,SBL,bank,https://sleague.tw/roster/148263,active,local,,本土,PG/SG,181,86,1992/11/17,臺灣師大,加盟: 2019-20賽季,,2022-23,2年,0,,https://sports.ettoday.net/news/2271816,,,,,,,,,
men,郭翰,14,SBL,bank,https://sleague.tw/roster/148262,active,local,2022Rookie,本土,C,195,110,1998/08/28,國立體大,加盟: 2024/08/01,,2024-25,,,,,SBL,bll,22,4.0,3.5,0.7,加盟 臺銀,https://www.instagram.com/p/C-HnulUTj71/,
men,林均濠,22,SBL,bank,https://sleague.tw/roster/148261,active,local,2021Rookie,本土,SF/PF,193,90,1998/01/19,臺灣藝大,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,高健益,24,SBL,bank,https://sleague.tw/roster/148260,active,local,,本土,PG/SG,185,75,1990/06/10,義守大學,加盟: 2018-19賽季,,2022-23,2年,0,,https://sports.ettoday.net/news/2271816,,,,,,,,,
men,王書府,25,SBL,bank,https://sleague.tw/roster/148259,active,local,2024Rookie,本土,PG/SG,180,72,2000/05/06,中信學院,2024 SBL 選秀 - #3 順位,,2024-25,,,,,,,,,,,,,
